title,gross,valence,arousal,dominance
Monster ,34468224,0.133000001,0.935000002,0.596000016
Shame ,4000304,0.078333334,0.638999999,0.212333332
The Warrior's Way ,5664251,0.542000006,0.565999995,0.586666673
Snow Flower and the Secret Fan ,1346503,0.61725,0.427916665,0.412166665
Reign of Fire ,43060566,0.512749992,0.733500004,0.795249999
Screwed ,6982680,0.343499988,0.489999995,0.420499995
The Punisher ,33682273,0.122599999,0.770800006,0.506200004
Please Give ,4033268,0.850250006,0.418999992,0.666999996
Creed ,109712885,0.573000014,0.245000005,0.54400003
Saw VI ,27669413,0.316000015,0.541000009,0.518000007
All the Pretty Horses ,15527125,0.754999995,0.512999982,0.544999987
The Tigger Movie ,45542421,0.757999986,0.493000001,0.471499994
Reign Over Me ,19661987,0.74149999,0.5995,0.871500015
Jersey Boys ,47034272,0.620000005,0.354499996,0.428000003
Win a Date with Tad Hamilton! ,16964743,0.778799987,0.541200003,0.668000001
Glory Road ,42643187,0.760333339,0.529000014,0.572333326
"The Goods: Live Hard, Sell Hard ",15102127,0.742499995,0.554299992,0.662199998
The Perfect Storm ,182618434,0.578499995,0.766500004,0.754000008
The 13th Warrior ,32694788,0.458000004,0.862999976,0.915000021
Mulholland Drive ,7219578,0.625,0.68900001,0.713
Killing Them Softly ,14938570,0.456800002,0.474199997,0.473999995
An Unfinished Life ,8535575,0.552999988,0.491500005,0.544
Unknown ,61094903,0.356999993,0.449999988,0.203999996
Final Fantasy: The Spirits Within ,32131830,0.578399998,0.4897,0.562800002
Jane Got a Gun ,1512815,0.147,0.920000017,0.713
The Craft ,24881000,0.713499993,0.350500003,0.464999989
Pay It Forward ,33508922,0.656666676,0.512333333,0.617333333
The Blues Brothers ,54200000,0.700750016,0.255999997,0.430000007
Evil Dead ,54239856,0.078333336,0.709999998,0.431000014
"For a Good Time, Call... ",1243961,0.711272727,0.40627272,0.58354546
Secretary ,4046737,0.611999989,0.425999999,0.56099999
Like Mike ,51432423,0.709000003,0.417599994,0.494599998
West Side Story ,43650000,0.551333328,0.343666663,0.504333337
The Haunting of Molly Hartley ,13350177,0.275999993,0.703500003,0.547999978
The Artist ,44667095,0.81099999,0.566750012,0.667500004
Wolf ,65012000,0.448000014,0.712000012,0.629999995
Bring It On ,68353550,0.63499999,0.460000008,0.462000012
